"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US08027","Custer County, Colorado","4941","*****","*****","null",
"0500000US08029","Delta County, Colorado","30758","*****","*****","null",
"0500000US08031","Denver County, Colorado","715878","174","null","null",
"0500000US08033","Dolores County, Colorado","1896","215","null","null",
"0500000US08035","Douglas County, Colorado","344280","*****","*****","null",
"0500000US08037","Eagle County, Colorado","54960","*****","*****","null",
"0500000US08039","Elbert County, Colorado","26230","*****","*****","null",
"0500000US08041","El Paso County, Colorado","710499","*****","*****","null",
"0500000US08043","Fremont County, Colorado","47725","*****","*****","null",
"0500000US08045","Garfield County, Colorado","59605","*****","*****","null",
"0500000US08047","Gilpin County, Colorado","6108","*****","*****","null",
"0500000US08049","Grand County, Colorado","15536","*****","*****","null",
"0500000US08051","Gunnison County, Colorado","17119","*****","*****","null",
"0500000US08053","Hinsdale County, Colorado","781","141","null","null",
"0500000US08055","Huerfano County, Colorado","6769","*****","*****","null",
"0500000US08057","Jackson County, Colorado","1316","164","null","null",
"0500000US08059","Jefferson County, Colorado","578795","*****","*****","null",
"0500000US08061","Kiowa County, Colorado","1463","164","null","null",
"0500000US08063","Kit Carson County, Colorado","7246","*****","*****","null",
"0500000US08065","Lake County, Colorado","7845","*****","*****","null",
"0500000US08067","La Plata County, Colorado","56138","*****","*****","null",
"0500000US08069","Larimer County, Colorado","350523","*****","*****","null",
"0500000US08071","Las Animas County, Colorado","14323","*****","*****","null",
"0500000US08073","Lincoln County, Colorado","5608","*****","*****","null",
"0500000US08075","Logan County, Colorado","22282","*****","*****","null",
"0500000US08077","Mesa County, Colorado","152962","*****","*****","null",
"0500000US08079","Mineral County, Colorado","853","149","null","null",
"0500000US08081","Moffat County, Colorado","13150","*****","*****","null",
"0500000US08083","Montezuma County, Colorado","26266","*****","*****","null",
"0500000US08085","Montrose County, Colorado","42280","*****","*****","null",
"0500000US08087","Morgan County, Colorado","28617","*****","*****","null",
"0500000US08089","Otero County, Colorado","18284","*****","*****","null",
"0500000US08091","Ouray County, Colorado","4890","*****","*****","null",
"0500000US08093","Park County, Colorado","18345","*****","*****","null",
"0500000US08095","Phillips County, Colorado","4343","*****","*****","null",
"0500000US08097","Pitkin County, Colorado","17980","*****","*****","null",
"0500000US08099","Prowers County, Colorado","12035","*****","*****","null",
"0500000US08101","Pueblo County, Colorado","167412","*****","*****","null",
"0500000US08103","Rio Blanco County, Colorado","6369","*****","*****","null",
"0500000US08105","Rio Grande County, Colorado","11300","*****","*****","null",
"0500000US08107","Routt County, Colorado","25317","*****","*****","null",
"0500000US08109","Saguache County, Colorado","6730","*****","*****","null",
"0500000US08111","San Juan County, Colorado","646","158","null","null",
